Profiling results:
------------------

Executable name: D:\GitHub\VisualFBEditor\Controls\MyFbFramework\examples\Grid\Grid Example.exe
Launched on: 02-09-2025, 11:50:06
Total program execution time: 300.9 seconds


Per function results:

        Function:                                                                         Count:       Time:    Total%:    Proc%:
__ZN11WSTRINGLIST11ITEM__set__ElRw@12                                                         16     0.00002      0.00%

        __ZN15WSTRINGLISTITEM12VALUE__set__ERw@8                                              16     0.00002      0.00%    79.45%

__ZN11WSTRINGLIST3ADDERwPv@12                                                                 42     0.00014      0.00%

        __ZN15WSTRINGLISTITEMC1Ev                                                             42     0.00004      0.00%    32.50%
        __ZN15WSTRINGLISTITEM12VALUE__set__ERw@8                                              42     0.00004      0.00%    31.17%
        __ZN4LIST3ADDEPv@8                                                                    42     0.00001      0.00%    10.64%
        ALLOCATE                                                                              42     0.00000      0.00%     2.95%
        __ZN4LIST12COUNT__get__Ev@4                                                           42     0.00000      0.00%     1.40%

__ZN11WSTRINGLIST5CLEAREv@4                                                                19996     0.00413      0.00%

        __ZN4LIST5CLEAREv@4                                                                19996     0.00099      0.00%    24.06%

__ZN11WSTRINGLISTC1Ev                                                                      19996     0.01063      0.00%

        __ZN11WSTRINGLIST5CLEAREv@4                                                        19996     0.00413      0.00%    38.81%
        __ZN4LISTC1Ev                                                                      19996     0.00099      0.00%     9.30%

__ZN11WSTRINGLISTD1Ev                                                                          1     0.00000      0.00%

        __ZN11WSTRINGLIST5CLEAREv@4                                                            1     0.00000      0.00%    70.83%
        __ZN4LISTD1Ev                                                                          1     0.00000      0.00%     0.00%

__ZN14CLASSCONTAINER10STORECLASSERwS0_Pv@12                                                    1     0.00001      0.00%

        __ZN14CLASSCONTAINER9FINDCLASSERw@4                                                    1     0.00001      0.00%    40.85%
        __ZN14CLASSCONTAINER9CLASSTYPE20CLASSANCESTOR__set__ERw@8                              1     0.00000      0.00%    14.79%
        __ZN14CLASSCONTAINER9CLASSTYPE16CLASSNAME__set__ERw@8                                  1     0.00000      0.00%    14.79%
        FB_ARRAYREDIMPRESVOBJ                                                                  1     0.00000      0.00%     7.04%
        FB_ARRAYUBOUND                                                                         4     0.00000      0.00%     2.11%

__ZN14CLASSCONTAINER12GETCLASSPROCEP6HWND__@4                                                621     0.01646      0.01%

        __ZN14CLASSCONTAINER12GETCLASSPROCERw@4                                              621     0.00817      0.00%    49.63%
        GETCLASSNAME                                                                         621     0.00627      0.00%    38.10%
        LEFT                                                                                 621     0.00081      0.00%     4.90%
        FB_WSTRDELETE                                                                        621     0.00013      0.00%     0.80%

__ZN14CLASSCONTAINER12GETCLASSPROCERw@4                                                      621     0.00817      0.00%

        FB_WSTRUCASE2                                                                       3072     0.00315      0.00%    38.56%
        FB_WSTRDELETE                                                                       3072     0.00097      0.00%    11.83%
        FB_WSTRCOMPARE                                                                      1536     0.00041      0.00%     4.96%
        __ZN14CLASSCONTAINER9CLASSTYPE16CLASSNAME__get__Ev@4                                1536     0.00024      0.00%     2.92%
        FB_ARRAYUBOUND                                                                       621     0.00010      0.00%     1.17%

__ZN14CLASSCONTAINER9CLASSTYPE16CLASSNAME__set__ERw@8                                          1     0.00000      0.00%

